profile_id,stop_depth_fsw,duration_air_min,duration_o2_min,can_enter_chamber
363,60,3,3,0
363,50,2,2,0
363,40,4,4,0
363,30,7,4,0
363,20,28,14,1
364,70,2,2,0
364,60,4,4,0
364,50,6,6,0
364,40,6,6,0
364,30,7,4,0
364,20,70,26,1
365,80,1,1,0
365,70,5,5,0
365,60,6,6,0
365,50,6,6,0
365,40,6,6,0
365,30,14,7,0
365,20,133,41,1
366,90,1,1,0
366,80,4,4,0
366,70,5,5,0
366,60,6,6,0
366,50,6,6,0
366,40,10,10,0
366,30,28,14,0
366,20,183,50,1
367,90,3,3,0
367,80,5,5,0
367,70,5,5,0
367,60,5,5,0
367,50,10,10,0
367,40,22,22,0
367,30,28,14,0
367,20,251,68,1
368,100,1,1,0
368,90,4,4,0
368,80,5,5,0
368,70,5,5,0
368,60,9,9,0
368,50,15,15,0
368,40,26,26,0
368,30,28,14,0
368,20,319,84,1
369,20,4,2,1
370,20,7,4,1
371,60,2,2,0
371,50,2,2,0
371,40,4,4,0
371,30,3,2,0
371,20,15,7,1
372,80,2,2,0
372,70,2,2,0
372,60,3,3,0
372,50,4,4,0
372,40,6,6,0
372,30,7,4,0
372,20,53,22,1
373,90,2,2,0
373,80,2,2,0
373,70,4,4,0
373,60,6,6,0
373,50,6,6,0
373,40,6,6,0
373,30,11,6,0
373,20,125,39,1
374,100,1,1,0
374,90,4,4,0
374,80,4,4,0
374,70,5,5,0
374,60,6,6,0
374,50,6,6,0
374,40,10,10,0
374,30,28,14,0
374,20,189,51,1
375,110,1,1,0
375,100,4,4,0
375,90,4,4,0
375,80,4,4,0
375,70,5,5,0
375,60,6,6,0
375,50,9,9,0
375,40,25,25,0
375,30,28,15,0
375,20,267,72,1
376,110,3,3,0
376,100,4,4,0
376,90,4,4,0
376,80,5,5,0
376,70,5,5,0
376,60,10,10,0
376,50,19,19,0
376,40,26,26,0
376,30,28,14,0
376,20,363,93,1
377,30,3,2,0
377,20,7,4,1
378,40,3,3,0
378,30,3,2,0
378,20,8,4,1
379,80,2,2,0
379,70,3,3,0
379,60,2,2,0
379,50,3,3,0
379,40,4,4,0
379,30,7,4,0
379,20,35,18,1
380,110,1,1,0
380,100,2,2,0
380,90,2,2,0
380,80,3,3,0
380,70,3,3,0
380,60,5,5,0
380,50,6,6,0
380,40,7,7,0
380,30,11,6,0
380,20,125,39,1
381,120,2,2,0
381,110,2,2,0
381,100,2,2,0
381,90,4,4,0
381,80,5,5,0
381,70,5,5,0
381,60,5,5,0
381,50,6,6,0
381,40,16,16,0
381,30,28,14,0
381,20,219,59,1
382,130,1,1,0
382,120,3,3,0
382,110,4,4,0
382,100,4,4,0
382,90,4,4,0
382,80,5,5,0
382,70,5,5,0
382,60,5,5,0
382,50,18,18,0
382,40,26,26,0
382,30,28,14,0
382,20,324,85,1
